NumIters,Seconds,LearningRate,accuracy,loss
0.0,4.778507,0.0001,0.0,8.47982
1000.0,116.747498,0.0001,0.35,1.80744
2000.0,229.158365,0.0001,0.38,1.671
3000.0,341.415383,0.0001,0.47,1.51548
4000.0,454.012194,0.0001,0.52,1.39154
5000.0,567.18346,0.0001,0.56,1.30134
6000.0,679.9371,1e-05,0.58,1.26913
7000.0,798.18564,1e-05,0.59,1.24677
8000.0,917.561112,1e-05,0.59,1.22908
9000.0,1029.055324,1e-05,0.58,1.21373
10000.0,1140.833104,1e-05,0.58,1.19849
11000.0,1253.172399,1e-06,0.59,1.19326
12000.0,1367.031813,1e-06,0.6,1.1914
13000.0,1488.456055,1e-06,0.6,1.18933
14000.0,1616.613267,1e-06,0.6,1.18729
15000.0,1739.902769,1e-06,0.6,1.1854
16000.0,1851.050999,1e-07,0.6,1.18571
17000.0,1966.908768,1e-07,0.6,1.18575
18000.0,2080.597921,1e-07,0.6,1.18562
19000.0,2192.005262,1e-07,0.6,1.18542
20000.0,2303.495121,1e-07,0.6,1.18519
21000.0,2415.794656,1e-08,0.6,1.18515
22000.0,2528.614498,1e-08,0.6,1.18515
23000.0,2646.428225,1e-08,0.6,1.18515
24000.0,2758.270894,1e-08,0.6,1.18515
